default,student,balance,income
No,No,729.526495207,44361.6250743
No,Yes,817.180406555,12106.1347003
No,No,1073.54916401,31767.1389474
No,No,529.250604745,35704.4939351
No,No,785.655882931,38463.4958787
No,Yes,919.588530474,7491.55857183
No,No,825.513330517,24905.2265775
No,Yes,808.667504297,17600.4513436
No,No,1161.05785403,37468.5292875
No,No,0.0,29275.2682932
No,Yes,0.0,21871.0730893
No,Yes,1220.583753,13268.5622209
No,No,237.045113977,28251.695345
No,No,606.742343302,44994.5558492
No,No,1112.96840063,23810.17405
No,No,286.232560139,45042.4130359
No,No,0.0,50265.3123536
No,Yes,527.540184075,17636.5396173
No,No,485.936864172,61566.1061178
No,No,1095.07273529,26464.6313892
No,No,228.952549643,50500.1821977
No,No,954.261792774,32457.5090751
No,No,1055.95660473,51317.8830824
No,No,641.984388848,30466.1032575
No,No,773.211724534,34353.314305
No,No,855.008522526,25211.3321615
No,No,642.999738515,41473.511801
No,No,1454.86327248,32189.0949523
No,No,615.70427656,39376.3946187
No,Yes,1119.56935333,16556.0702054
No,No,494.816228807,54384.7828361
No,Yes,448.880656256,15799.4704098
No,Yes,584.904894682,22429.9350462
No,No,913.587172609,46907.2254029
No,Yes,1423.93891664,22634.4880876
No,Yes,1499.72465656,13190.6527164
No,No,692.034167065,47806.6117729
No,No,351.453471523,35087.4886481
No,No,742.627620786,37864.8239389
No,No,653.118400123,39489.5947029
No,No,872.138679538,41787.5672689
No,No,837.262622754,51471.7720946
No,No,1151.63056608,42917.4695636
No,Yes,220.555608386,16872.9475558
No,Yes,1690.23441039,19052.5722247
No,No,408.772914305,54206.939212
No,No,1238.61032124,50066.6805337
No,No,1228.30835035,37408.5038685
No,No,820.919204146,47746.5420731
No,No,857.485117776,31688.3459739
No,No,563.618177182,42641.2532666
No,Yes,1282.9725336,13120.6364696
No,Yes,1505.78267483,26557.1414459
No,Yes,904.040259067,16882.3006057
No,No,0.0,49956.5805719
No,Yes,1294.49734667,10464.3207319
No,Yes,1275.55063272,15887.4684868
No,No,1536.59460097,48766.9074576
No,No,1332.52264387,39143.137069
No,No,492.079767815,33379.0946028
No,No,766.234379304,46478.294257
No,No,690.1272462,63432.9842545
No,No,0.0,32481.5400461
No,No,1480.65530926,36866.1570687
No,No,989.055596975,45344.2513203
No,No,1302.34183517,33695.4262333
No,No,1044.55234328,54696.7659816
No,No,0.0,43658.227724
No,No,866.028436368,38363.4216347
No,No,690.800792354,48140.471336
